2025-05-23T12:16:53.735Z INFO    lightningd: v25.02-301-gcca076b
2025-05-23T12:16:54.053Z INFO    lightningd: Creating configuration directory /home/remyers/github/lightning-cfg/.lightning/bob/regtest
2025-05-23T12:16:54.053Z DEBUG   lightningd: Opened log file cln.log
2025-05-23T12:16:54.054Z DEBUG   plugin-manager: started(1482026) /usr/local/libexec/c-lightning/plugins/autoclean
2025-05-23T12:16:54.055Z DEBUG   plugin-manager: started(1482027) /usr/local/libexec/c-lightning/plugins/chanbackup
2025-05-23T12:16:54.055Z DEBUG   plugin-manager: started(1482028) /usr/local/libexec/c-lightning/plugins/bcli
2025-05-23T12:16:54.056Z DEBUG   plugin-manager: started(1482029) /usr/local/libexec/c-lightning/plugins/commando
2025-05-23T12:16:54.056Z DEBUG   plugin-manager: started(1482030) /usr/local/libexec/c-lightning/plugins/funder
2025-05-23T12:16:54.057Z DEBUG   plugin-manager: started(1482031) /usr/local/libexec/c-lightning/plugins/topology
2025-05-23T12:16:54.057Z DEBUG   plugin-manager: started(1482032) /usr/local/libexec/c-lightning/plugins/exposesecret
2025-05-23T12:16:54.058Z DEBUG   plugin-manager: started(1482033) /usr/local/libexec/c-lightning/plugins/keysend
2025-05-23T12:16:54.059Z DEBUG   plugin-manager: started(1482034) /usr/local/libexec/c-lightning/plugins/offers
2025-05-23T12:16:54.059Z DEBUG   plugin-manager: started(1482035) /usr/local/libexec/c-lightning/plugins/pay
2025-05-23T12:16:54.060Z DEBUG   plugin-manager: started(1482036) /usr/local/libexec/c-lightning/plugins/recklessrpc
2025-05-23T12:16:54.061Z DEBUG   plugin-manager: started(1482037) /usr/local/libexec/c-lightning/plugins/recover
2025-05-23T12:16:54.061Z DEBUG   plugin-manager: started(1482038) /usr/local/libexec/c-lightning/plugins/txprepare
2025-05-23T12:16:54.062Z DEBUG   plugin-manager: started(1482039) /usr/local/libexec/c-lightning/plugins/cln-renepay
2025-05-23T12:16:54.062Z DEBUG   plugin-manager: started(1482040) /usr/local/libexec/c-lightning/plugins/cln-xpay
2025-05-23T12:16:54.063Z DEBUG   plugin-manager: started(1482041) /usr/local/libexec/c-lightning/plugins/spenderp
2025-05-23T12:16:54.063Z DEBUG   plugin-manager: started(1482042) /usr/local/libexec/c-lightning/plugins/cln-askrene
2025-05-23T12:16:54.064Z DEBUG   plugin-manager: started(1482043) /usr/local/libexec/c-lightning/plugins/sql
2025-05-23T12:16:54.065Z DEBUG   plugin-manager: started(1482044) /usr/local/libexec/c-lightning/plugins/cln-grpc
2025-05-23T12:16:54.065Z DEBUG   plugin-manager: started(1482045) /usr/local/libexec/c-lightning/plugins/clnrest
2025-05-23T12:16:54.066Z DEBUG   plugin-manager: started(1482046) /usr/local/libexec/c-lightning/plugins/cln-lsps-client
2025-05-23T12:16:54.067Z DEBUG   plugin-manager: started(1482047) /usr/local/libexec/c-lightning/plugins/cln-lsps-service
2025-05-23T12:16:54.067Z DEBUG   plugin-manager: started(1482048) /usr/local/libexec/c-lightning/plugins/bookkeeper
2025-05-23T12:16:54.067Z DEBUG   plugin-manager: started(1482049) /usr/local/libexec/c-lightning/plugins/wss-proxy/wss-proxy
2025-05-23T12:16:54.089Z INFO    plugin-wss-proxy: Killing plugin: disabled itself: No module named 'websockets'
2025-05-23T12:16:54.089Z UNUSUAL plugin-bookkeeper: topic 'utxo_deposit' is not a known notification topic
2025-05-23T12:16:54.089Z UNUSUAL plugin-bookkeeper: topic 'utxo_spend' is not a known notification topic
2025-05-23T12:16:54.089Z DEBUG   lightningd: io_break: check_plugins_manifests
2025-05-23T12:16:54.089Z DEBUG   lightningd: io_loop_with_timers: plugins_init
2025-05-23T12:16:54.090Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_channeld
2025-05-23T12:16:54.092Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_closingd
2025-05-23T12:16:54.093Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_connectd
2025-05-23T12:16:54.094Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_gossipd
2025-05-23T12:16:54.095Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_hsmd
2025-05-23T12:16:54.096Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_onchaind
