2025-05-23T12:23:37.267Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.267Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.267Z DEBUG   hsmd: new_client: 0
2025-05-23T12:23:37.268Z DEBUG   connectd: Created listener on 127.0.0.1:9737
2025-05-23T12:23:37.268Z DEBUG   connectd: REPLY WIRE_CONNECTD_INIT_REPLY with 0 fds
2025-05-23T12:23:37.268Z DEBUG   lightningd: io_break: connect_init_done
2025-05-23T12:23:37.268Z DEBUG   lightningd: io_loop: connectd_init
2025-05-23T12:23:37.283Z INFO    plugin-bcli: bitcoin-cli initialized and connected to bitcoind.
2025-05-23T12:23:37.283Z DEBUG   lightningd: io_break: plugin_config_cb
2025-05-23T12:23:37.283Z DEBUG   lightningd: io_loop_with_timers: config_plugin
2025-05-23T12:23:37.283Z DEBUG   lightningd: All Bitcoin plugin commands registered
2025-05-23T12:23:37.303Z DEBUG   lightningd: Adding block 120: 79b87e28510f11f2b2390077be75abc8d53ee6500e6a2e994f9141a16ac05b20
2025-05-23T12:23:37.305Z DEBUG   wallet: Loaded 0 channels from DB
2025-05-23T12:23:37.306Z DEBUG   gossipd: pid 1484754, msgfd 69
2025-05-23T12:23:37.306Z DEBUG   hsmd: new_client: 0
2025-05-23T12:23:37.307Z DEBUG   gossipd: Store compact time: 0 msec
2025-05-23T12:23:37.307Z DEBUG   gossipd: gossip_store: Read 0/0/0/0 cannounce/cupdate/nannounce/delete from store in 0 bytes, now 1 bytes (populated=false)
2025-05-23T12:23:37.307Z DEBUG   gossipd: seeker: state = STARTING_UP New seeker
2025-05-23T12:23:37.307Z DEBUG   gossipd: REPLY WIRE_GOSSIPD_INIT_REPLY with 0 fds
2025-05-23T12:23:37.307Z DEBUG   lightningd: io_break: gossipd_init_done
2025-05-23T12:23:37.307Z DEBUG   lightningd: io_loop: gossip_init
2025-05-23T12:23:37.308Z DEBUG   lightningd: Looking for [autoclean,succeededforwards,num]
2025-05-23T12:23:37.309Z DEBUG   plugin-clnrest: Killing plugin: disabled itself at init: `clnrest-port` option is not configured
