2025-05-23T12:26:23.348Z INFO    lightningd: v25.02-301-gcca076b
2025-05-23T12:26:23.706Z INFO    lightningd: Creating configuration directory /home/remyers/github/lightning-cfg/.lightning/bob/regtest
2025-05-23T12:26:23.706Z DEBUG   lightningd: Opened log file cln.log
2025-05-23T12:26:23.707Z DEBUG   plugin-manager: started(1485747) /usr/local/libexec/c-lightning/plugins/autoclean
2025-05-23T12:26:23.707Z DEBUG   plugin-manager: started(1485748) /usr/local/libexec/c-lightning/plugins/chanbackup
2025-05-23T12:26:23.708Z DEBUG   plugin-manager: started(1485749) /usr/local/libexec/c-lightning/plugins/bcli
2025-05-23T12:26:23.708Z DEBUG   plugin-manager: started(1485750) /usr/local/libexec/c-lightning/plugins/commando
2025-05-23T12:26:23.709Z DEBUG   plugin-manager: started(1485751) /usr/local/libexec/c-lightning/plugins/funder
2025-05-23T12:26:23.710Z DEBUG   plugin-manager: started(1485752) /usr/local/libexec/c-lightning/plugins/topology
2025-05-23T12:26:23.710Z DEBUG   plugin-manager: started(1485753) /usr/local/libexec/c-lightning/plugins/exposesecret
2025-05-23T12:26:23.711Z DEBUG   plugin-manager: started(1485754) /usr/local/libexec/c-lightning/plugins/keysend
2025-05-23T12:26:23.711Z DEBUG   plugin-manager: started(1485755) /usr/local/libexec/c-lightning/plugins/offers
2025-05-23T12:26:23.712Z DEBUG   plugin-manager: started(1485756) /usr/local/libexec/c-lightning/plugins/pay
2025-05-23T12:26:23.712Z DEBUG   plugin-manager: started(1485757) /usr/local/libexec/c-lightning/plugins/recklessrpc
2025-05-23T12:26:23.713Z DEBUG   plugin-manager: started(1485758) /usr/local/libexec/c-lightning/plugins/recover
2025-05-23T12:26:23.713Z DEBUG   plugin-manager: started(1485759) /usr/local/libexec/c-lightning/plugins/txprepare
2025-05-23T12:26:23.714Z DEBUG   plugin-manager: started(1485760) /usr/local/libexec/c-lightning/plugins/cln-renepay
2025-05-23T12:26:23.715Z DEBUG   plugin-manager: started(1485761) /usr/local/libexec/c-lightning/plugins/cln-xpay
2025-05-23T12:26:23.715Z DEBUG   plugin-manager: started(1485762) /usr/local/libexec/c-lightning/plugins/spenderp
2025-05-23T12:26:23.716Z DEBUG   plugin-manager: started(1485763) /usr/local/libexec/c-lightning/plugins/cln-askrene
2025-05-23T12:26:23.716Z DEBUG   plugin-manager: started(1485764) /usr/local/libexec/c-lightning/plugins/sql
2025-05-23T12:26:23.717Z DEBUG   plugin-manager: started(1485765) /usr/local/libexec/c-lightning/plugins/cln-grpc
2025-05-23T12:26:23.717Z DEBUG   plugin-manager: started(1485766) /usr/local/libexec/c-lightning/plugins/clnrest
2025-05-23T12:26:23.718Z DEBUG   plugin-manager: started(1485767) /usr/local/libexec/c-lightning/plugins/cln-lsps-client
2025-05-23T12:26:23.718Z DEBUG   plugin-manager: started(1485768) /usr/local/libexec/c-lightning/plugins/cln-lsps-service
2025-05-23T12:26:23.719Z DEBUG   plugin-manager: started(1485769) /usr/local/libexec/c-lightning/plugins/bookkeeper
2025-05-23T12:26:23.720Z DEBUG   plugin-manager: started(1485782) /usr/local/libexec/c-lightning/plugins/wss-proxy/wss-proxy
2025-05-23T12:26:23.735Z INFO    plugin-wss-proxy: Killing plugin: disabled itself: No module named 'websockets'
2025-05-23T12:26:23.735Z UNUSUAL plugin-bookkeeper: topic 'utxo_deposit' is not a known notification topic
2025-05-23T12:26:23.735Z UNUSUAL plugin-bookkeeper: topic 'utxo_spend' is not a known notification topic
2025-05-23T12:26:23.735Z DEBUG   lightningd: io_break: check_plugins_manifests
2025-05-23T12:26:23.735Z DEBUG   lightningd: io_loop_with_timers: plugins_init
2025-05-23T12:26:23.736Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_channeld
2025-05-23T12:26:23.738Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_closingd
2025-05-23T12:26:23.739Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_connectd
2025-05-23T12:26:23.740Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_gossipd
2025-05-23T12:26:23.742Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_hsmd
2025-05-23T12:26:23.743Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_onchaind
2025-05-23T12:26:23.744Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_openingd
2025-05-23T12:26:23.745Z DEBUG   hsmd: pid 1485830, msgfd 66
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_PUBKEY
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANY_DELAYED_PAYMENT_TO_US
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANCHORSPEND
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_HTLC_TX_MINGLE
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_SPLICE_TX
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_OUTPOINT
2025-05-23T12:26:23.754Z DEBUG   hsmd: capability +WIRE_HSMD_FORGET_CHANNEL
